candidate_id,rank,score,reasoning
CAND_0000031,1,0.9999,"Top pick: Recommendation Systems Engineer (6.0 YOE) with hands-on FAISS, Embeddings, Information Retrieval. Based in Hyderabad, Telangana — strong fit for JD hubs (Pune/Noida/Bangalore/Delhi-Gurgaon). Moderate availability (response 91%, notice 60d). Career text shows shipped/production ML work. Mentions a/b test in career history."
CAND_0000010,2,0.9526,"Top pick: Data Engineer (4.6 YOE) with hands-on Elasticsearch. Location London is outside India — JD targets Pune/Noida/Bangalore/Delhi corridor. Moderate availability (response 40%, notice 120d). Career text shows shipped/production ML work. Mentions a/b test in career history."
CAND_0000001,3,0.9139,"Top pick: Backend Engineer (6.9 YOE) with hands-on Tailwind, NLP, Image Classification, Fine-tuning LLMs. Location Toronto is outside India — JD targets Pune/Noida/Bangalore/Delhi corridor. Moderate availability (response 34%, notice 60d). Production deployment evidence is thin in the profile. Stack skews CV/speech (e.g. YOLO/ASR) — role needs search/retrieval/IR depth, not vision pipelines."
CAND_0000014,4,0.8777,"Top pick: Frontend Engineer (8.4 YOE) with hands-on FAISS, OpenSearch. Based in Hyderabad, Telangana — strong fit for JD hubs (Pune/Noida/Bangalore/Delhi-Gurgaon). Moderate availability (response 80%, notice 90d). Career text shows shipped/production ML work."
CAND_0000025,5,0.8388,"Top pick: Frontend Engineer (7.3 YOE) with hands-on JavaScript, Spark, GCP, TypeScript. India-based (Vizag, Andhra Pradesh); relocation may be needed vs preferred Pune/Noida/Bangalore/Delhi-Gurgaon. Moderate availability (response 74%, notice 120d). Career text shows shipped/production ML work."
CAND_0000048,6,0.8,"Top pick: Mobile Developer (9.7 YOE) with hands-on Hadoop, Terraform, Vue.js, Content Writing. Based in Hyderabad, Telangana — strong fit for JD hubs (Pune/Noida/Bangalore/Delhi-Gurgaon). Moderate availability (response 65%, notice 120d). Career text shows shipped/production ML work."
CAND_0000027,7,0.7617,"Top pick: DevOps Engineer (3.9 YOE) with hands-on Information Retrieval. India-based (Kolkata, West Bengal); relocation may be needed vs preferred Pune/Noida/Bangalore/Delhi-Gurgaon. Moderate availability (response 58%, notice 90d). Career text shows shipped/production ML work."
CAND_0000038,8,0.7232,"Top pick: Java Developer (6.7 YOE) with hands-on Kubeflow, Django, Redux, Weaviate. India-based (Coimbatore, Tamil Nadu); relocation may be needed vs preferred Pune/Noida/Bangalore/Delhi-Gurgaon. Moderate availability (response 20%, notice 90d). Career text shows shipped/production ML work."
CAND_0000023,9,0.6844,"Top pick: Software Engineer (3.7 YOE) with hands-on BigQuery, Marketing, Node.js, Django. Location New York is outside India — JD targets Pune/Noida/Bangalore/Delhi corridor. Strong availability (response 57%, 30d notice). Career text shows shipped/production ML work."
CAND_0000049,10,0.6457,"Top pick: Mechanical Engineer (11.8 YOE) with hands-on TypeScript, Rust, Data Pipelines, Apache Beam. Location Berlin is outside India — JD targets Pune/Noida/Bangalore/Delhi corridor. Moderate availability (response 59%, notice 120d). Production deployment evidence is thin in the profile."
CAND_0000004,11,0.6074,"Strong match: Marketing Manager, 3.8 YOE; core stack Node.js, Content Writing, Redux, Airflow. Product/SaaS background aligns with in-house AI role. Moderate availability (response 26%, notice 120d). Career text shows shipped/production ML work. Location Sydney is outside India — JD targets Pune/Noida/Bangalore/Delhi corridor. Stack skews CV/speech (e.g. YOLO/ASR) — role needs search/retrieval/IR depth, not vision pipelines."
CAND_0000047,12,0.5691,"Strong match: Project Manager, 2.4 YOE; core stack FastAPI, Java, Excel, Tally. Built at product companies — fits startup shipping culture vs pure services. Moderate availability (response 39%, notice 90d). Production deployment evidence is thin in the profile. India-based (Kochi, Kerala); relocation may be needed vs preferred Pune/Noida/Bangalore/Delhi-Gurgaon."
CAND_0000043,13,0.5316,"Strong match: Cloud Engineer, 8.3 YOE; core stack Elasticsearch, OpenSearch. Current path is product engineering, matching JD's in-house builder focus. Availability concern: response rate 4%, notice 120d — JD prioritizes reachable hires. Career text shows shipped/production ML work. India-based (Chandigarh, Chandigarh); relocation may be needed vs preferred Pune/Noida/Bangalore/Delhi-Gurgaon."
CAND_0000018,14,0.4933,"Strong match: Frontend Engineer, 6.6 YOE; core stack CNN, Java, Accounting, Data Pipelines. SaaS/platform tenure suggests end-to-end ownership beyond client delivery. Availability concern: response rate 16%, notice 120d — JD prioritizes reachable hires. Career text shows shipped/production ML work. India-based (Bhubaneswar, Odisha); relocation may be needed vs preferred Pune/Noida/Bangalore/Delhi-Gurgaon."
CAND_0000044,15,0.455,"Strong match: Frontend Engineer, 5.7 YOE; core stack Hadoop, JavaScript, Databricks, Python. Mixed services/product background. Availability concern: response rate 66%, notice 90d — JD prioritizes reachable hires. Career text shows shipped/production ML work. India-based (Indore, Madhya Pradesh); relocation may be needed vs preferred Pune/Noida/Bangalore/Delhi-Gurgaon."
CAND_0000011,16,0.4167,"Strong match: QA Engineer, 2.0 YOE; core stack Recommendation Systems, Scrum, FastAPI, Hugging Face Transformers. Built at product companies — fits startup shipping culture vs pure services. Availability concern: response rate 56%, notice 90d — JD prioritizes reachable hires. Career text shows shipped/production ML work. Based in Hyderabad, Telangana — strong fit for JD hubs (Pune/Noida/Bangalore/Delhi-Gurgaon)."
CAND_0000015,17,0.3782,"Strong match: Software Engineer, 5.4 YOE; core stack PyTorch, Content Writing, Weights & Biases, Qdrant. Current path is product engineering, matching JD's in-house builder focus. Availability concern: response rate 32%, notice 90d — JD prioritizes reachable hires. Career text shows shipped/production ML work. India-based (Trivandrum, Kerala); relocation may be needed vs preferred Pune/Noida/Bangalore/Delhi-Gurgaon. Stack skews CV/speech (e.g. YOLO/ASR) — role needs search/retrieval/IR depth, no"
CAND_0000032,18,0.3399,"Strong match: .NET Developer, 8.1 YOE; core stack Embeddings. SaaS/platform tenure suggests end-to-end ownership beyond client delivery. Availability concern: response rate 69%, notice 150d — JD prioritizes reachable hires. Career text shows shipped/production ML work. Based in Gurgaon, Haryana — strong fit for JD hubs (Pune/Noida/Bangalore/Delhi-Gurgaon). Stack skews CV/speech (e.g. YOLO/ASR) — role needs search/retrieval/IR depth, not vision pipelines."
CAND_0000035,19,0.3015,"Strong match: Full Stack Developer, 4.3 YOE; core stack Snowflake, BigQuery, Recommendation Systems, Data Pipelines. Product/SaaS background aligns with in-house AI role. Availability concern: response rate 34%, notice 60d — JD prioritizes reachable hires. Career text shows shipped/production ML work. Based in Hyderabad, Telangana — strong fit for JD hubs (Pune/Noida/Bangalore/Delhi-Gurgaon). Stack skews CV/speech (e.g. YOLO/ASR) — role needs search/retrieval/IR depth, not vision pipelines."
CAND_0000041,20,0.2632,"Strong match: Operations Manager, 13.7 YOE; core stack Airflow, SQL, Go, GCP. Built at product companies — fits startup shipping culture vs pure services. Availability concern: response rate 7%, notice 90d — JD prioritizes reachable hires. Career text shows shipped/production ML work. Based in Delhi, Delhi — strong fit for JD hubs (Pune/Noida/Bangalore/Delhi-Gurgaon)."
CAND_0000050,21,0.2249,"Strong match: Business Analyst, 13.5 YOE; core stack gRPC, SEO, Feature Engineering, Marketing. Current path is product engineering, matching JD's in-house builder focus. Availability concern: response rate 42%, notice 90d — JD prioritizes reachable hires. Career text shows shipped/production ML work. Based in Gurgaon, Haryana — strong fit for JD hubs (Pune/Noida/Bangalore/Delhi-Gurgaon)."
CAND_0000030,22,0.1866,"Strong match: Marketing Manager, 10.0 YOE; core stack gRPC, Apache Beam, GraphQL, Java. SaaS/platform tenure suggests end-to-end ownership beyond client delivery. Availability concern: response rate 66%, notice 60d — JD prioritizes reachable hires. Career text shows shipped/production ML work. India-based (Kochi, Kerala); relocation may be needed vs preferred Pune/Noida/Bangalore/Delhi-Gurgaon."
CAND_0000046,23,0.1483,"Strong match: Mechanical Engineer, 7.8 YOE; core stack Agile, Scrum, SAP, React. Product/SaaS background aligns with in-house AI role. Availability concern: response rate 41%, notice 30d — JD prioritizes reachable hires. Production deployment evidence is thin in the profile. Location London is outside India — JD targets Pune/Noida/Bangalore/Delhi corridor."
CAND_0000037,24,0.11,"Strong match: Business Analyst, 14.3 YOE; core stack Databricks, Docker, Flask, AWS. Built at product companies — fits startup shipping culture vs pure services. Availability concern: response rate 78%, notice 30d — JD prioritizes reachable hires. Career text shows shipped/production ML work. Location Dubai is outside India — JD targets Pune/Noida/Bangalore/Delhi corridor. Stack skews CV/speech (e.g. YOLO/ASR) — role needs search/retrieval/IR depth, not vision pipelines."
